,Quantity,Signal 1,Signal 2,DTW,
1471,jsat,32238 (5.72-6.08),32239 (4.56-4.95),2673.9921112060547,
1154,jsat,32234 (5.10-5.55),32239 (3.90-4.20),2857.1429443359375,
1148,jsat,32234 (5.10-5.55),32237 (3.74-4.01),2942.611862182617,
1220,jsat,32235 (4.03-5.00),32238 (6.40-6.80),3113.5523071289062,
1224,jsat,32235 (4.03-5.00),32239 (5.80-6.10),4774.113067626953,
1499,jsat,32238 (6.40-6.80),32239 (5.80-6.10),4835.163711547852,
1388,jsat,32237 (3.74-4.01),32239 (3.90-4.20),4969.47428894043,
1445,jsat,32238 (4.63-5.06),32239 (5.80-6.10),6227.1065673828125,
1444,jsat,32238 (4.63-5.06),32239 (4.56-4.95),6446.885696411133,
1390,jsat,32237 (3.74-4.01),32239 (5.80-6.10),6849.817031860352,
1498,jsat,32238 (6.40-6.80),32239 (4.56-4.95),7423.686935424805,
1156,jsat,32234 (5.10-5.55),32239 (5.80-6.10),7606.837112426758,
942,jsat,32228 (6.20-6.48),32235 (4.03-5.00),7789.990097045898,
1472,jsat,32238 (5.72-6.08),32239 (5.80-6.10),8095.237701416016,
943,jsat,32228 (6.20-6.48),32235 (5.55-5.98),8400.489639282227,
1328,jsat,32235 (6.49-6.84),32239 (2.11-2.47),8571.429595947266,
1254,jsat,32235 (5.55-5.98),32238 (6.40-6.80),8766.787628173828,
1219,jsat,32235 (4.03-5.00),32238 (5.72-6.08),8901.098861694336,
1384,jsat,32237 (3.74-4.01),32238 (4.63-5.06),9267.400283813477,
1260,jsat,32235 (5.55-5.98),32239 (2.11-2.47),9304.02961730957,
957,jsat,32228 (6.20-6.48),32239 (2.11-2.47),9377.283218383789,
945,jsat,32228 (6.20-6.48),32235 (6.49-6.84),9450.553451538086,
1218,jsat,32235 (4.03-5.00),32238 (4.63-5.06),9487.181060791016,
1288,jsat,32235 (6.07-6.42),32238 (6.40-6.80),9670.330581665039,
956,jsat,32228 (6.20-6.48),32238 (3.58-3.84),9804.641555786133,
1389,jsat,32237 (3.74-4.01),32239 (4.56-4.95),9853.4794921875,
1287,jsat,32235 (6.07-6.42),32238 (5.72-6.08),9902.320755004883,
1225,jsat,32235 (4.03-5.00),32238 (3.58-3.84),9938.948867797852,
1253,jsat,32235 (5.55-5.98),32238 (5.72-6.08),9963.369979858398,
1357,jsat,32237 (2.37-2.98),32239 (4.56-4.95),10024.419540405273,
1294,jsat,32235 (6.07-6.42),32239 (2.11-2.47),10366.300964355469,
1259,jsat,32235 (5.55-5.98),32238 (3.58-3.84),10390.721206665039,
1191,jsat,32235 (3.49-3.87),32238 (3.58-3.84),10488.39924621582,
1327,jsat,32235 (6.49-6.84),32238 (3.58-3.84),10561.660858154297,
1192,jsat,32235 (3.49-3.87),32239 (2.11-2.47),10927.961807250977,
1155,jsat,32234 (5.10-5.55),32239 (4.56-4.95),11062.270324707031,
946,jsat,32228 (6.20-6.48),32237 (2.37-2.98),11538.459732055664,
1353,jsat,32237 (2.37-2.98),32238 (5.72-6.08),11611.721420288086,
1359,jsat,32237 (2.37-2.98),32238 (3.58-3.84),11929.182113647461,
1150,jsat,32234 (5.10-5.55),32238 (4.63-5.06),12026.861846923828,
1226,jsat,32235 (4.03-5.00),32239 (2.11-2.47),12075.701751708984,
1223,jsat,32235 (4.03-5.00),32239 (4.56-4.95),12087.909774780273,
1354,jsat,32237 (2.37-2.98),32238 (6.40-6.80),12173.383178710938,
1352,jsat,32237 (2.37-2.98),32238 (4.63-5.06),12283.271118164062,
1615,jsat,32238 (3.58-3.84),32239 (2.11-2.47),12820.51235961914,
1566,jsat,32239 (3.90-4.20),34189 (6.25-6.50),12893.773056030273,
1117,jsat,32234 (4.69-4.94),32239 (5.80-6.10),13089.133056640625,
944,jsat,32228 (6.20-6.48),32235 (6.07-6.42),13125.763000488281,
869,jsat,32228 (4.42-4.72),32239 (2.11-2.47),13418.804931640625,
1443,jsat,32238 (4.63-5.06),32239 (3.90-4.20),13675.214080810547,
1293,jsat,32235 (6.07-6.42),32238 (3.58-3.84),13699.633071899414,
856,jsat,32228 (4.42-4.72),32235 (6.07-6.42),13846.152420043945,
1283,jsat,32235 (6.07-6.42),32237 (2.37-2.98),13992.67448425293,
1386,jsat,32237 (3.74-4.01),32238 (6.40-6.80),14224.663681030273,
1215,jsat,32235 (4.03-5.00),32237 (2.37-2.98),14395.60595703125,
