,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
1035,jsat,32237 (2.37-2.98),32238 (6.40-6.80),61.05006408691406,0.01,3.22,0.13,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.4666,0.0,0.0482738,8.48,20.94,7.93
840,jsat,32234 (3.50-3.70),32238 (2.46-2.72),73.26011657714844,4.8,9.13,1.3,25.546,0.0,2.14927,13.34,18.74,8.79,9.47367,0.0,0.0287791,8.54,27.87,7.49
991,jsat,32235 (6.07-6.42),32238 (6.40-6.80),85.47007751464844,5.01,1.6,0.32,25.5268,0.0,0.862729,13.49,19.34,7.61,9.4666,0.0,0.0482738,8.48,20.94,7.93
682,jsat,32228 (4.42-4.72),32237 (2.37-2.98),85.47007751464844,3.47,0.73,0.17,25.7448,7.0675,,11.94,23.43,7.97,9.48679,0.0,0.0285357,8.47,24.16,7.8
987,jsat,32235 (6.07-6.42),32237 (3.74-4.01),97.68008422851562,4.91,6.86,1.48,25.5268,0.0,0.862729,13.49,19.34,7.61,9.4875,0.0,0.0881912,8.58,12.48,9.09
839,jsat,32234 (3.50-3.70),32237 (3.74-4.01),97.68009948730469,4.76,6.26,0.3,25.546,0.0,2.14927,13.34,18.74,8.79,9.4875,0.0,0.0881912,8.58,12.48,9.09
1056,jsat,32237 (3.74-4.01),32238 (6.40-6.80),109.89009094238281,0.1,8.46,1.16,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.4666,0.0,0.0482738,8.48,20.94,7.93
964,jsat,32235 (5.55-5.98),32237 (3.74-4.01),109.89010620117188,5.08,7.41,1.61,25.5361,0.0,0.926972,13.66,19.89,7.48,9.4875,0.0,0.0881912,8.58,12.48,9.09
1125,jsat,32238 (6.40-6.80),32239 (5.80-6.10),109.89012145996094,0.27,10.07,1.09,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.46983,0.0,0.0811663,8.75,10.87,9.02
1123,jsat,32238 (6.40-6.80),32239 (3.90-4.20),122.10008239746094,0.09,2.27,0.18,9.4666,0.0,0.0482738,8.48,20.94,7.93,9.47201,0.0,0.122662,8.39,18.67,8.11
1039,jsat,32237 (2.37-2.98),32239 (5.80-6.10),122.10008239746094,0.28,13.29,1.22,9.48679,0.0,0.0285357,8.47,24.16,7.8,9.46983,0.0,0.0811663,8.75,10.87,9.02
1060,jsat,32237 (3.74-4.01),32239 (5.80-6.10),122.10011291503906,0.17,1.61,0.07,9.4875,0.0,0.0881912,8.58,12.48,9.09,9.46983,0.0,0.0811663,8.75,10.87,9.02
899,jsat,32234 (5.10-5.55),32238 (6.40-6.80),134.31011962890625,4.09,13.18,0.89,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.4666,0.0,0.0482738,8.48,20.94,7.93
963,jsat,32235 (5.55-5.98),32237 (2.37-2.98),134.3101348876953,5.19,4.27,0.32,25.5361,0.0,0.926972,13.66,19.89,7.48,9.48679,0.0,0.0285357,8.47,24.16,7.8
901,jsat,32234 (5.10-5.55),32239 (3.90-4.20),134.3101348876953,4.18,10.91,0.71,25.5233,0.0,0.0506868,12.57,7.76,8.82,9.47201,0.0,0.122662,8.39,18.67,8.11
986,jsat,32235 (6.07-6.42),32237 (2.37-2.98),146.52011108398438,5.02,4.82,0.19,25.5268,0.0,0.862729,13.49,19.34,7.61,9.48679,0.0,0.0285357,8.47,24.16,7.8
1017,jsat,32235 (6.49-6.84),32239 (4.56-4.95),146.52011108398438,5.39,7.22,1.1,25.5133,0.0,0.274347,13.89,22.12,7.29,9.47235,0.0,0.10587,8.5,14.9,8.39
972,jsat,32235 (5.55-5.98),32239 (5.80-6.10),146.52012634277344,4.91,9.02,1.54,25.5361,0.0,0.926972,13.66,19.89,7.48,9.46983,0.0,0.0811663,8.75,10.87,9.02
