,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
51,6.42,1.0,0.52,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.000118979136114
3,2.38,4.31,0.31,jsat,2,3.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,0.000144739430271
9,8.92,11.4,0.57,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.000251880397071
45,0.12,14.71,0.26,jsat,2?,3.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,0.000296541276771
54,5.72,25.0,1.06,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000305130567439
91,6.54,15.71,0.26,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00031887788381
79,,3.4,1.3,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.000330357590025
32,2.75,6.3,0.14,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.000335264249961
12,8.22,14.6,1.11,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000370480223515
52,6.69,16.28,0.71,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.000391792792228
33,2.72,3.76,0.17,jsat,3,2.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.000399100644082
16,2.38,1.43,0.1,jsat,4.5,3.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,0.000417492226167
10,9.19,5.88,0.76,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.000422976152322
53,5.45,27.17,0.99,jsat,2?,2.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.000449955673399
21,,1.97,1.2,jsat,4.5,10.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.000454727832805
30,0.22,3.98,0.06,jsat,3,3.5,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,0.000465833081957
94,5.84,10.29,0.8,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000477557296506
92,6.81,1.57,0.45,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.000495908508997
126,,5.57,,jsat,6,10.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00049626712538
11,7.95,16.77,1.04,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.000560481787705
87,2.94,3.71,0.28,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.000580994711748
86,2.97,6.25,0.25,jsat,3,2.5,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.000603753266178
5,5.32,0.6,0.59,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.000663714864653
93,5.57,12.46,0.73,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.000676778737893
31,0.22,0.05,0.11,jsat,3,3.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,0.000683533871369
4,5.35,1.94,0.56,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.000693683095985
58,5.04,2.2,1.32,jsat,4,5.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,0.000695394055351
76,2.97,10.28,0.08,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.000708751625044
55,5.22,30.77,0.96,jsat,2?,10.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.000718623172242
35,,7.38,1.24,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.000741883952163
47,2.82,11.0,0.54,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.000758068162617
77,2.94,7.74,0.11,jsat,3.5,2.5,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.000787751634473
105,3.6,12.0,0.02,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.000790372207725
106,3.87,5.28,0.17,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.000799458828345
