,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
807,2.14,4.51,0.11,jsat,,2,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,83.2810844707
868,0.02,2.01,0.04,jsat,,,32237 (2.37-2.98),9.48679,0.0,0.0285357,8.47,24.16,7.8,32238 (3.58-3.84),9.47125,0.0,0.0842352,8.49,22.15,7.84,115.355914864
471,2.88,0.09,0.56,jsat,,,32228 (4.42-4.72),25.7448,7.0675,,11.94,23.43,7.97,32932 (6.35-6.50),18.5579,0.292389,0.0,14.82,23.34,8.53,192.898622513
677,0.72,12.01,1.16,jsat,,,32234 (3.50-3.70),25.546,0.0,2.14927,13.34,18.74,8.79,32930 (2.64-2.85),18.8147,0.0237066,0.0,12.62,30.75,7.63,366.574050857
939,0.06,2.7,0.03,jsat,,,32238 (4.63-5.06),9.47207,0.0,0.177642,8.51,19.76,7.99,32239 (3.20-3.40),9.47453,0.0,0.0793621,8.45,22.46,7.96,400.864952369
709,3.82,3.11,0.2,jsat,,,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,420.493321486
865,1.03,2.57,0.21,jsat,,4.5,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,549.544841814
239,1.97,18.32,0.59,jsat,2,,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,583.669954355
896,0.15,9.2,0.62,jsat,,,32238 (2.46-2.72),9.47367,0.0,0.0287791,8.54,27.87,7.49,32239 (3.90-4.20),9.47201,0.0,0.122662,8.39,18.67,8.11,598.89704534
1121,,8.51,1.2,jsat,2.5,3,32931 (4.51-4.79),18.7046,2.33235,0.0,12.69,26.48,7.7,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,613.804110546
173,5.64,6.54,0.0,jsat,3,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32931 (4.51-4.79),18.7046,2.33235,0.0,12.69,26.48,7.7,665.497776303
1097,,12.78,1.13,jsat,,3,32930 (2.64-2.85),18.8147,0.0237066,0.0,12.62,30.75,7.63,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,707.593611986
1118,2.01,2.43,0.13,jsat,2.5,,32931 (4.51-4.79),18.7046,2.33235,0.0,12.69,26.48,7.7,32932 (3.50-3.91),18.6043,3.35945,0.0,14.7,28.91,7.83,785.016076908
175,5.77,5.8,0.09,jsat,3,2,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32931 (6.35-6.50),18.6919,0.257304,0.0,12.82,25.74,7.79,810.226988472
940,0.12,1.09,0.12,jsat,,,32238 (4.63-5.06),9.47207,0.0,0.177642,8.51,19.76,7.99,32239 (3.90-4.20),9.47201,0.0,0.122662,8.39,18.67,8.11,833.28520908
1161,,10.94,1.33,jsat,,3,32932 (3.50-3.91),18.6043,3.35945,0.0,14.7,28.91,7.83,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,870.072994264
838,1.42,0.29,0.41,jsat,,5,32235 (6.07-6.42),25.5268,0.0,0.862729,13.49,19.34,7.61,34189 (6.25-6.50),18.8269,13.0138,0.0,14.91,19.05,7.2,914.86699385
