,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
15,0.09,3.81,0.05,jsat,4.5,5.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,1583.64487639
16,2.38,1.43,0.1,jsat,4.5,3.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,2867.95945236
97,,27.88,,jsat,2.5,6.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,3612.46161325
73,8.04,3.19,0.61,jsat,5,2.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,4265.12345441
2,2.38,8.34,0.48,jsat,2,3.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,4523.64887184
3,2.38,4.31,0.31,jsat,2,3.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,5035.7279008
31,0.22,0.05,0.11,jsat,3,3.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,5267.42559656
120,,2.86,1.93,jsat,10,10.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,5300.19385886
123,,20.06,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,5338.70171918
0,0.21,11.74,0.23,jsat,2,4.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,5351.84941321
125,,11.34,,jsat,6,10.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,5395.03384777
70,,12.36,,jsat,5,6.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,5510.73048933
