,shotnr,tdiv_mean,useful
640,28923,-32.2,useful
641,28924,-30.8,useful
637,28919,-27.9,useful
638,28920,-20.2,useful
639,28922,-19.0,useful
635,28916,-16.8,useful
669,28970,-16.8,useful
809,29220,-16.5,useful
659,28959,-15.8,useful
663,28964,-14.6,useful
668,28969,-12.9,useful
660,28960,-12.7,useful
678,28987,-12.6,useful
808,29219,-11.5,useful
662,28963,-11.2,useful
642,28925,-9.9,useful
2325,31433,-9.9,useful
679,28988,-9.3,useful
30,28045,-8.8,useful
332,28446,-8.3,useful
807,29218,-8.3,useful
40,28056,-7.4,useful
331,28445,-5.9,useful
324,28432,-5.3,useful
325,28433,-4.0,useful
673,28974,-4.0,useful
651,28946,-3.9,useful
1553,30307,-3.2,useful
2289,31380,-3.0,useful
1664,30490,-2.7,useful
348,28467,-2.6,useful
653,28948,-2.6,useful
350,28469,-2.5,useful
819,29230,-2.1,useful
2323,31431,-2.1,useful
349,28468,-2.1,useful
2078,31054,-2.0,useful
654,28949,-2.0,useful
339,28457,-1.7,useful
806,29217,-1.7,useful
329,28437,-1.6,useful
3017,33664,-1.6,useful
2003,30954,-1.5,useful
330,28444,-1.5,useful
2287,31378,-1.5,useful
170,28225,-1.5,useful
1629,30433,-1.4,useful
2396,31530,-1.4,useful
315,28420,-1.4,useful
476,28710,-1.4,useful
1038,29556,-1.4,useful
1634,30438,-1.4,useful
345,28464,-1.4,useful
158,28213,-1.4,useful
1573,30337,-1.4,useful
149,28203,-1.3,useful
805,29216,-1.3,useful
323,28431,-1.3,useful
1349,29925,-1.3,useful
317,28422,-1.3,useful
643,28930,-1.3,useful
342,28460,-1.3,useful
1790,30655,-1.3,useful
333,28447,-1.3,useful
1591,30377,-1.2,useful
2058,31028,-1.2,useful
1149,29686,-1.2,useful
320,28427,-1.2,useful
341,28459,-1.2,useful
321,28428,-1.2,useful
340,28458,-1.2,useful
2050,31020,-1.2,useful
1133,29669,-1.2,useful
336,28450,-1.2,useful
2531,31689,-1.2,useful
334,28448,-1.2,useful
2083,31086,-1.2,useful
343,28461,-1.2,useful
338,28456,-1.2,useful
319,28426,-1.2,useful
2635,31983,-1.2,useful
1033,29551,-1.2,useful
1710,30555,-1.2,useful
1714,30559,-1.2,useful
1172,29716,-1.2,useful
2511,31668,-1.2,useful
2294,31385,-1.2,useful
168,28223,-1.2,useful
3541,34684,-1.2,useful
1527,30277,-1.2,useful
2307,31413,-1.2,useful
1649,30471,-1.2,useful
1622,30418,-1.1,useful
2842,32820,-1.1,useful
214,28275,-1.1,useful
1526,30276,-1.1,useful
344,28463,-1.1,useful
1703,30547,-1.1,useful
2011,30962,-1.1,useful
347,28466,-1.1,useful
2553,31728,-1.1,useful
2519,31676,-1.1,useful
1694,30534,-1.1,useful
2217,31275,-1.1,useful
2435,31576,-1.1,useful
2617,31962,-1.1,useful
365,28522,-1.1,useful
1667,30494,-1.1,useful
1555,30309,-1.1,useful
346,28465,-1.1,useful
1670,30498,-1.1,useful
255,28331,-1.1,useful
1194,29741,-1.1,useful
230,28294,-1.1,useful
652,28947,-1.1,useful
2795,32241,-1.1,useful
2038,31001,-1.1,useful
318,28425,-1.1,useful
246,28318,-1.1,useful
254,28330,-1.1,useful
2353,31466,-1.1,useful
2201,31254,-1.1,useful
109,28138,-1.1,useful
290,28379,-1.1,useful
2055,31025,-1.1,useful
1190,29737,-1.0,useful
2176,31225,-1.0,useful
155,28209,-1.0,useful
2170,31213,-1.0,useful
1131,29667,-1.0,useful
2184,31233,-1.0,useful
2500,31656,-1.0,useful
132,28170,-1.0,useful
2139,31150,-1.0,useful
2713,32111,-1.0,useful
134,28172,-1.0,useful
2128,31138,-1.0,useful
2727,32126,-1.0,useful
2517,31674,-1.0,useful
121,28153,-1.0,useful
2097,31102,-1.0,useful
2093,31097,-1.0,useful
2086,31089,-1.0,useful
2356,31469,-1.0,useful
2075,31050,-1.0,useful
138,28176,-1.0,useful
131,28169,-1.0,useful
2441,31583,-1.0,useful
2189,31239,-1.0,useful
245,28317,-1.0,useful
328,28436,-1.0,useful
2219,31277,-1.0,useful
1759,30617,-1.0,useful
1754,30611,-1.0,useful
2255,31329,-1.0,useful
2488,31643,-1.0,useful
259,28335,-1.0,useful
285,28374,-1.0,useful
313,28405,-1.0,useful
1551,30305,-1.0,useful
1618,30414,-1.0,useful
2231,31292,-1.0,useful
1736,30586,-1.0,useful
283,28372,-1.0,useful
2639,31987,-1.0,useful
1071,29597,-1.0,useful
206,28267,-1.0,useful
2032,30993,-1.0,useful
1687,30527,-1.0,useful
2203,31256,-1.0,useful
2204,31257,-1.0,useful
177,28233,-1.0,useful
2206,31259,-1.0,useful
2275,31362,-1.0,useful
1073,29599,-1.0,useful
1596,30383,-1.0,useful
2283,31373,-1.0,useful
2483,31638,-1.0,useful
2216,31274,-1.0,useful
1702,30546,-1.0,useful
1254,29812,-1.0,useful
1151,29691,-0.9,useful
1543,30297,-0.9,useful
1150,29687,-0.9,useful
2520,31677,-0.9,useful
1914,30822,-0.9,useful
1550,30304,-0.9,useful
1537,30290,-0.9,useful
2342,31454,-0.9,useful
1880,30781,-0.9,useful
2537,31699,-0.9,useful
1700,30544,-0.9,useful
1039,29557,-0.9,useful
1682,30515,-0.9,useful
1680,30511,-0.9,useful
1676,30506,-0.9,useful
1711,30556,-0.9,useful
1671,30499,-0.9,useful
1022,29528,-0.9,useful
2571,31747,-0.9,useful
1661,30485,-0.9,useful
2370,31495,-0.9,useful
2388,31517,-0.9,useful
2380,31508,-0.9,useful
1029,29535,-0.9,useful
1712,30557,-0.9,useful
1052,29577,-0.9,useful
1053,29578,-0.9,useful
1868,30769,-0.9,useful
1854,30745,-0.9,useful
1132,29668,-0.9,useful
1556,30310,-0.9,useful
1567,30330,-0.9,useful
2526,31684,-0.9,useful
1822,30690,-0.9,useful
2412,31548,-0.9,useful
1771,30632,-0.9,useful
1072,29598,-0.9,useful
1761,30619,-0.9,useful
1746,30598,-0.9,useful
1744,30596,-0.9,useful
1740,30591,-0.9,useful
1734,30584,-0.9,useful
1886,30790,-0.9,useful
1987,30936,-0.9,useful
2382,31511,-0.9,useful
2056,31026,-0.9,useful
2212,31266,-0.9,useful
366,28523,-0.9,useful
186,28243,-0.9,useful
998,29492,-0.9,useful
2274,31361,-0.9,useful
2130,31140,-0.9,useful
2037,31000,-0.9,useful
1401,29989,-0.9,useful
2491,31647,-0.9,useful
2210,31263,-0.9,useful
2052,31022,-0.9,useful
2124,31134,-0.9,useful
2057,31027,-0.9,useful
1329,29898,-0.9,useful
235,28299,-0.9,useful
2087,31090,-0.9,useful
487,28722,-0.9,useful
257,28333,-0.9,useful
2249,31317,-0.9,useful
1348,29924,-0.9,useful
322,28429,-0.9,useful
175,28231,-0.9,useful
178,28234,-0.9,useful
1399,29987,-0.9,useful
2199,31252,-0.9,useful
57,28076,-0.9,useful
1213,29761,-0.9,useful
2202,31255,-0.9,useful
1523,30271,-0.9,useful
2497,31653,-0.9,useful
69,28089,-0.9,useful
2296,31387,-0.9,useful
2457,31607,-0.9,useful
173,28229,-0.9,useful
150,28204,-0.9,useful
2186,31235,-0.9,useful
2171,31216,-0.9,useful
2208,31261,-0.9,useful
2288,31379,-0.9,useful
2207,31260,-0.9,useful
2235,31296,-0.9,useful
1594,30381,-0.8,useful
2218,31276,-0.8,useful
1800,30666,-0.8,useful
2529,31687,-0.8,useful
1758,30616,-0.8,useful
312,28404,-0.8,useful
2436,31577,-0.8,useful
310,28402,-0.8,useful
2437,31578,-0.8,useful
2484,31639,-0.8,useful
1823,30691,-0.8,useful
2528,31686,-0.8,useful
1819,30687,-0.8,useful
1757,30615,-0.8,useful
1535,30288,-0.8,useful
2256,31333,-0.8,useful
2315,31423,-0.8,useful
1644,30466,-0.8,useful
1652,30474,-0.8,useful
961,29421,-0.8,useful
108,28137,-0.8,useful
135,28173,-0.8,useful
141,28179,-0.8,useful
152,28206,-0.8,useful
925,29378,-0.8,useful
1034,29552,-0.8,useful
2286,31377,-0.8,useful
1679,30510,-0.8,useful
1730,30578,-0.8,useful
1688,30528,-0.8,useful
897,29347,-0.8,useful
2282,31372,-0.8,useful
185,28242,-0.8,useful
1701,30545,-0.8,useful
1363,29942,-0.8,useful
195,28252,-0.8,useful
2273,31360,-0.8,useful
1199,29746,-0.8,useful
2824,32497,-0.8,useful
229,28293,-0.8,useful
241,28313,-0.8,useful
1718,30565,-0.8,useful
1691,30531,-0.8,useful
1574,30339,-0.8,useful
2416,31553,-0.8,useful
2200,31253,-0.8,useful
2062,31032,-0.8,useful
1883,30787,-0.8,useful
2061,31031,-0.8,useful
1885,30789,-0.8,useful
2527,31685,-0.8,useful
1887,30791,-0.8,useful
1257,29815,-0.8,useful
2027,30984,-0.8,useful
2677,32049,-0.8,useful
1490,30209,-0.8,useful
1910,30817,-0.8,useful
1160,29701,-0.8,useful
1514,30256,-0.8,useful
2016,30967,-0.8,useful
1244,29799,-0.8,useful
1917,30826,-0.8,useful
2618,31963,-0.8,useful
1986,30935,-0.8,useful
2510,31667,-0.8,useful
1974,30923,-0.8,useful
1961,30909,-0.8,useful
2636,31984,-0.8,useful
1958,30906,-0.8,useful
1470,30175,-0.8,useful
1957,30905,-0.8,useful
2355,31468,-0.8,useful
2006,30957,-0.8,useful
2357,31470,-0.8,useful
2008,30959,-0.8,useful
1516,30258,-0.8,useful
1171,29715,-0.8,useful
2493,31649,-0.8,useful
2063,31034,-0.8,useful
